"state","puma12","cbsa","pop10","afact"
"State code","PUMA (2012)","CBSA (current)","Population (2010)","puma12 to cbsa allocation factor"
"01","00100"," ",39558,0.2119 
"01","00100","22520",147137,0.7881 
"01","00200","26620",171821,1 
"01","00301","26620",118924,1 
"01","00302","26620",101522,1 
"01","00400","22840",71109,0.5719 
"01","00400","42460",53227,0.4281 
"01","00500","10700",93019,0.786 
"01","00500","26620",25326,0.214 
"01","00600","19460",153829,1 
"01","00700"," ",24484,0.2334 
"01","00700","18980",80406,0.7666 
"01","00800","13820",140915,1 
"01","00900","23460",104430,1 
"01","01000"," ",77806,0.486 
"01","01000","45180",82291,0.514 
"01","01100","11500",118572,1 
"01","01200","13820",195085,1 
"01","01301","13820",100833,1 
"01","01302","13820",102098,1 
"01","01303","13820",170145,1 
"01","01304","13820",174673,1 
"01","01305","13820",110717,1 
"01","01400"," ",54727,0.4495 
"01","01400","13820",67023,0.5505 
"01","01500","46220",103773,1 
"01","01600","46220",110629,1 
"01","01700"," ",54426,0.3975 
"01","01700","13820",22915,0.1674 
"01","01700","42820",43820,0.32 
"01","01700","46220",15760,0.1151 
"01","01800","10760",41616,0.3176 
"01","01800","13820",43643,0.3331 
"01","01800","45180",11539,0.0881 
"01","01800","46740",34215,0.2612 
"01","01900","12220",140247,1 
"01","02000","33860",196534,1 
"01","02100","33860",178002,1 
"01","02200"," ",105239,0.7331 
"01","02200","12120",38319,0.2669 
"01","02300"," ",72618,0.5925 
"01","02300","21460",49948,0.4075 
"01","02400"," ",32366,0.2222 
"01","02400","17980",52947,0.3635 
"01","02400","21640",27457,0.1885 
"01","02400","45980",32899,0.2258 
"01","02500","20020",145639,0.7435 
"01","02500","37120",50251,0.2565 
"01","02600","19300",182265,1 
"01","02701","33660",110765,1 
"01","02702","33660",107285,1 
"01","02703","33660",194942,1 
"02","00101","11260",132542,1 
"02","00102","11260",159284,1 
"02","00200"," ",55400,0.3837 
"02","00200","11260",88995,0.6163 
"02","00300"," ",21967,0.1337 
"02","00300","21820",97581,0.5939 
"02","00300","27940",31275,0.1904 
"02","00300","28540",13477,0.082 
"02","00400"," ",109710,1 
"04","00100","38060",111283,1 
"04","00101","38060",146304,1 
"04","00102","38060",131113,1 
"04","00103","38060",106091,1 
"04","00104","38060",100229,1 
"04","00105","38060",135319,1 
"04","00106","38060",114036,1 
"04","00107","38060",100430,1 
"04","00108","38060",101048,1 
"04","00109","38060",102150,1 
"04","00110","38060",116958,1 
"04","00111","38060",104877,1 
"04","00112","38060",105478,1 
"04","00113","38060",102189,1 
"04","00114","38060",103639,1 
"04","00115","38060",101757,1 
"04","00116","38060",100212,1 
"04","00117","38060",100444,1 
"04","00118","38060",108714,1 
"04","00119","38060",105514,1 
"04","00120","38060",100182,1 
"04","00121","38060",123745,1 
"04","00122","38060",104327,1 
"04","00123","38060",108404,1 
"04","00124","38060",100367,1 
"04","00125","38060",101932,1 
"04","00126","38060",121841,1 
"04","00127","38060",113447,1 
"04","00128","38060",103065,1 
"04","00129","38060",105818,1 
"04","00130","38060",116222,1 
"04","00131","38060",103540,1 
"04","00132","38060",102571,1 
"04","00133","38060",103989,1 
"04","00134","38060",109882,1 
"04","00201","46060",101172,1 
"04","00202","46060",115321,1 
"04","00203","46060",109462,1 
"04","00204","46060",104434,1 
"04","00205","46060",122285,1 
"04","00206","46060",102159,1 
"04","00207","46060",101927,1 
"04","00208","46060",108063,1 
"04","00209","46060",115440,1 
"04","00300"," ",71518,0.3996 
"04","00300","43320",107449,0.6004 
"04","00400","22380",134421,1 
"04","00500","39140",211033,1 
"04","00600"," ",20489,0.0928 
"04","00600","29420",200186,0.9072 
"04","00700","49740",195751,1 
"04","00800"," ",8437,0.0766 
"04","00800","37740",53597,0.4867 
"04","00800","38060",10860,0.0986 
"04","00800","40940",37220,0.338 
"04","00803","38060",123512,1 
"04","00805","38060",114145,1 
"04","00807","38060",127253,1 
"04","00900","35700",47420,0.2653 
"04","00900","43420",131346,0.7347 
"05","00100","22220",221339,1 
"05","00200","22220",203065,1 
"05","00300"," ",52294,0.3379 
"05","00300","22220",15717,0.1016 
"05","00300","25460",45233,0.2923 
"05","00300","34260",41513,0.2682 
"05","00400"," ",98864,0.7296 
"05","00400","12900",36647,0.2704 
"05","00500"," ",51467,0.2855 
"05","00500","27860",86730,0.4811 
"05","00500","37500",42090,0.2335 
"05","00600","14180",46480,0.434 
"05","00600","27860",9713,0.0907 
"05","00600","32820",50902,0.4753 
"05","00700"," ",36443,0.3282 
"05","00700","22620",28258,0.2545 
"05","00700","25760",21757,0.1959 
"05","00700","27860",24583,0.2214 
"05","00800"," ",33972,0.3059 
"05","00800","42620",77076,0.6941 
"05","00900","30780",197726,1 
"05","01000","30780",185022,1 
"05","01100","30780",181593,1 
"05","01200","30780",107118,1 
"05","01300"," ",46813,0.3315 
"05","01300","30780",10445,0.074 
"05","01300","40780",83939,0.5945 
"05","01400","22900",187692,1 
"05","01500"," ",103220,1 
"05","01600"," ",9487,0.0588 
"05","01600","11660",22995,0.1424 
"05","01600","26300",96024,0.5948 
"05","01600","31680",32923,0.2039 
"05","01700"," ",11441,0.1072 
"05","01700","30780",17853,0.1673 
"05","01700","38220",77435,0.7255 
"05","01800"," ",84256,0.7869 
"05","01800","38220",22823,0.2131 
"05","01900"," ",8116,0.0767 
"05","01900","15780",31488,0.2976 
"05","01900","20980",41639,0.3936 
"05","01900","31620",24552,0.2321 
"05","02000"," ",18936,0.1767 
"05","02000","26260",31606,0.2949 
"05","02000","45500",56633,0.5284 
"06","00101","41860",131119,1 
"06","00102","41860",158091,1 
"06","00103","41860",125229,1 
"06","00104","41860",124608,1 
"06","00105","41860",163534,1 
"06","00106","41860",134752,1 
"06","00107","41860",145655,1 
"06","00108","41860",135402,1 
"06","00109","41860",189764,1 
"06","00110","41860",202117,1 
"06","00300"," ",135843,0.7104 
"06","00300","43760",55365,0.2896 
"06","00701","17020",111389,1 
"06","00702","17020",108611,1 
"06","01100"," ",63327,0.4995 
"06","01100","39780",63463,0.5005 
"06","01301","41860",114777,1 
"06","01302","41860",118671,1 
"06","01303","41860",129625,1 
"06","01304","41860",117784,1 
"06","01305","41860",124585,1 
"06","01306","41860",112211,1 
"06","01307","41860",120474,1 
"06","01308","41860",107213,1 
"06","01309","41860",103685,1 
"06","01500"," ",74593,0.5401 
"06","01500","18860",28610,0.2072 
"06","01500","45000",34895,0.2527 
"06","01700","40900",181058,1 
"06","01901","23420",144724,1 
"06","01902","23420",173649,1 
"06","01903","23420",101880,1 
"06","01904","23420",170140,1 
"06","01905","23420",108177,1 
"06","01906","23420",102642,1 
"06","01907","23420",129238,1 
"06","02300","21700",134623,1 
"06","02500","20940",174528,1 
"06","02901","12540",189962,1 
"06","02902","12540",200370,1 
"06","02903","12540",155144,1 
"06","02904","12540",107850,1 
"06","02905","12540",186305,1 
"06","03100","25260",152982,1 
"06","03300","17340",64665,0.424 
"06","03300","46380",87841,0.576 
"06","03701","31080",139801,1 
"06","03702","31080",188102,1 
"06","03703","31080",163632,1 
"06","03704","31080",164268,1 
"06","03705","31080",166932,1 
"06","03706","31080",136414,1 
"06","03707","31080",150967,1 
"06","03708","31080",136833,1 
"06","03709","31080",110202,1 
"06","03710","31080",174037,1 
"06","03711","31080",163941,1 
"06","03712","31080",146895,1 
"06","03713","31080",109666,1 
"06","03714","31080",109128,1 
"06","03715","31080",120111,1 
"06","03716","31080",110351,1 
"06","03717","31080",189098,1 
"06","03718","31080",135128,1 
"06","03719","31080",190790,1 
"06","03720","31080",118143,1 
"06","03721","31080",133453,1 
"06","03722","31080",159310,1 
"06","03723","31080",141253,1 
"06","03724","31080",167320,1 
"06","03725","31080",168469,1 
"06","03726","31080",101503,1 
"06","03727","31080",151268,1 
"06","03728","31080",102511,1 
"06","03729","31080",195763,1 
"06","03730","31080",164376,1 
"06","03731","31080",108399,1 
"06","03732","31080",176714,1 
"06","03733","31080",112679,1 
"06","03734","31080",195576,1 
"06","03735","31080",193764,1 
"06","03736","31080",114737,1 
"06","03737","31080",128448,1 
"06","03738","31080",131401,1 
"06","03739","31080",166483,1 
"06","03740","31080",128628,1 
"06","03741","31080",143492,1 
"06","03742","31080",131781,1 
"06","03743","31080",124007,1 
"06","03744","31080",170583,1 
"06","03745","31080",122254,1 
"06","03746","31080",109831,1 
"06","03747","31080",158277,1 
"06","03748","31080",177765,1 
"06","03749","31080",113695,1 
"06","03750","31080",172913,1 
"06","03751","31080",148133,1 
"06","03752","31080",171357,1 
"06","03753","31080",110238,1 
"06","03754","31080",136000,1 
"06","03755","31080",121204,1 
"06","03756","31080",117361,1 
"06","03757","31080",156629,1 
"06","03758","31080",153930,1 
"06","03759","31080",112990,1 
"06","03760","31080",138043,1 
"06","03761","31080",125349,1 
"06","03762","31080",112822,1 
"06","03763","31080",142620,1 
"06","03764","31080",159116,1 
"06","03765","31080",130093,1 
"06","03766","31080",102211,1 
"06","03767","31080",177298,1 
"06","03768","31080",111454,1 
"06","03769","31080",100665,1 
"06","03900","31460",150865,1 
"06","04101","41860",104847,1 
"06","04102","41860",147562,1 
"06","04701","32900",104617,1 
"06","04702","32900",151176,1 
"06","05301","41500",174967,1 
"06","05302","41500",163203,1 
"06","05303","41500",76887,0.5818 
"06","05303","41940",55269,0.4182 
"06","05500","34900",136484,1 
"06","05700"," ",3240,0.0318 
"06","05700","46020",98764,0.9682 
"06","05901","31080",177692,1 
"06","05902","31080",105909,1 
"06","05903","31080",198777,1 
"06","05904","31080",200200,1 
"06","05905","31080",197457,1 
"06","05906","31080",177007,1 
"06","05907","31080",189619,1 
"06","05908","31080",177943,1 
"06","05909","31080",146177,1 
"06","05910","31080",190565,1 
"06","05911","31080",137924,1 
"06","05912","31080",166905,1 
"06","05913","31080",159887,1 
"06","05914","31080",190243,1 
"06","05915","31080",100044,1 
"06","05916","31080",151620,1 
"06","05917","31080",164806,1 
"06","05918","31080",177457,1 
"06","06101","40900",124136,1 
"06","06102","40900",112465,1 
"06","06103","40900",111831,1 
"06","06501","40140",180218,1 
"06","06502","40140",131017,1 
"06","06503","40140",127500,1 
"06","06504","40140",126833,1 
"06","06505","40140",175913,1 
"06","06506","40140",147650,1 
"06","06507","40140",144045,1 
"06","06508","40140",182352,1 
"06","06509","40140",117862,1 
"06","06510","40140",147162,1 
"06","06511","40140",164560,1 
"06","06512","40140",100465,1 
"06","06513","40140",145277,1 
"06","06514","40140",148672,1 
"06","06515","40140",150115,1 
"06","06701","40900",105079,1 
"06","06702","40900",110868,1 
"06","06703","40900",109370,1 
"06","06704","40900",119698,1 
"06","06705","40900",104243,1 
"06","06706","40900",116635,1 
"06","06707","40900",113698,1 
"06","06708","40900",133058,1 
"06","06709","40900",137826,1 
"06","06710","40900",152642,1 
"06","06711","40900",106501,1 
"06","06712","40900",109170,1 
"06","07101","40140",139447,1 
"06","07102","40140",161996,1 
"06","07103","40140",167046,1 
"06","07104","40140",110315,1 
"06","07105","40140",137401,1 
"06","07106","40140",102661,1 
"06","07107","40140",106289,1 
"06","07108","40140",169385,1 
"06","07109","40140",108455,1 
"06","07110","40140",106132,1 
"06","07111","40140",165176,1 
"06","07112","40140",120986,1 
"06","07113","40140",167275,1 
"06","07114","40140",155212,1 
"06","07115","40140",117434,1 
"06","07301","41740",190634,1 
"06","07302","41740",116701,1 
"06","07303","41740",106971,1 
"06","07304","41740",114712,1 
"06","07305","41740",115517,1 
"06","07306","41740",137469,1 
"06","07307","41740",105535,1 
