"state","puma12","county","pop10","afact"
"State code","PUMA (2012)","County code","Population (2010)","puma12 to county allocation factor"
"01","00100","01033",54428,0.2915 
"01","00100","01059",31704,0.1698 
"01","00100","01077",92709,0.4966 
"01","00100","01093",7854,0.0421 
"01","00200","01083",82782,0.4818 
"01","00200","01089",89039,0.5182 
"01","00301","01089",118924,1 
"01","00302","01089",101522,1 
"01","00400","01049",71109,0.5719 
"01","00400","01071",53227,0.4281 
"01","00500","01089",25326,0.214 
"01","00500","01095",93019,0.786 
"01","00600","01079",34339,0.2232 
"01","00600","01103",119490,0.7768 
"01","00700","01043",80406,0.7666 
"01","00700","01133",24484,0.2334 
"01","00800","01009",57322,0.4068 
"01","00800","01115",83593,0.5932 
"01","00900","01055",104430,1 
"01","01000","01019",25989,0.1623 
"01","01000","01027",13932,0.087 
"01","01000","01029",14972,0.0935 
"01","01000","01111",22913,0.1431 
"01","01000","01121",82291,0.514 
"01","01100","01015",118572,1 
"01","01200","01117",195085,1 
"01","01301","01073",100833,1 
"01","01302","01073",102098,1 
"01","01303","01073",170145,1 
"01","01304","01073",174673,1 
"01","01305","01073",110717,1 
"01","01400","01057",17241,0.1416 
"01","01400","01075",14564,0.1196 
"01","01400","01093",22922,0.1883 
"01","01400","01127",67023,0.5505 
"01","01500","01107",19746,0.1903 
"01","01500","01125",84027,0.8097 
"01","01600","01125",110629,1 
"01","01700","01007",22915,0.1674 
"01","01700","01047",43820,0.32 
"01","01700","01063",9045,0.0661 
"01","01700","01065",15760,0.1151 
"01","01700","01091",21027,0.1536 
"01","01700","01105",10591,0.0774 
"01","01700","01119",13763,0.1005 
"01","01800","01017",34215,0.2612 
"01","01800","01021",43643,0.3331 
"01","01800","01037",11539,0.0881 
"01","01800","01123",41616,0.3176 
"01","01900","01081",140247,1 
"01","02000","01101",196534,1 
"01","02100","01001",54571,0.3066 
"01","02100","01051",79303,0.4455 
"01","02100","01085",11299,0.0635 
"01","02100","01101",32829,0.1844 
"01","02200","01023",13859,0.0965 
"01","02200","01025",25833,0.1799 
"01","02200","01035",13228,0.0921 
"01","02200","01053",38319,0.2669 
"01","02200","01099",23068,0.1607 
"01","02200","01129",17581,0.1225 
"01","02200","01131",11670,0.0813 
"01","02300","01013",20947,0.1709 
"01","02300","01031",49948,0.4075 
"01","02300","01039",37765,0.3081 
"01","02300","01041",13906,0.1135 
"01","02400","01005",27457,0.1885 
"01","02400","01011",10914,0.0749 
"01","02400","01087",21452,0.1473 
"01","02400","01109",32899,0.2258 
"01","02400","01113",52947,0.3635 
"01","02500","01045",50251,0.2565 
"01","02500","01061",26790,0.1368 
"01","02500","01067",17302,0.0883 
"01","02500","01069",101547,0.5184 
"01","02600","01003",182265,1 
"01","02701","01097",110765,1 
"01","02702","01097",107285,1 
"01","02703","01097",194942,1 
"02","00101","02020",132542,1 
"02","00102","02020",159284,1 
"02","00200","02122",55400,0.3837 
"02","00200","02170",88995,0.6163 
"02","00300","02068",1826,0.0111 
"02","00300","02090",97581,0.5939 
"02","00300","02100",2508,0.0153 
"02","00300","02110",31275,0.1904 
"02","00300","02130",13477,0.082 
"02","00300","02230",968,0.0059 
"02","00300","02240",7029,0.0428 
"02","00300","02261",9636,0.0586 
"02","00400","02013",3141,0.0286 
"02","00400","02016",5561,0.0507 
"02","00400","02050",17013,0.1551 
"02","00400","02060",997,0.0091 
"02","00400","02070",4847,0.0442 
"02","00400","02105",2150,0.0196 
"02","00400","02150",13592,0.1239 
"02","00400","02158",7459,0.068 
"02","00400","02164",1631,0.0149 
"02","00400","02180",9492,0.0865 
"02","00400","02185",9430,0.086 
"02","00400","02188",7523,0.0686 
"02","00400","02195",3815,0.0348 
"02","00400","02198",5559,0.0507 
"02","00400","02220",8881,0.0809 
"02","00400","02275",2369,0.0216 
"02","00400","02282",662,0.006 
"02","00400","02290",5588,0.0509 
"04","00100","04013",111283,1 
"04","00101","04013",146304,1 
"04","00102","04013",131113,1 
"04","00103","04013",106091,1 
"04","00104","04013",100229,1 
"04","00105","04013",135319,1 
"04","00106","04013",114036,1 
"04","00107","04013",100430,1 
"04","00108","04013",101048,1 
"04","00109","04013",102150,1 
"04","00110","04013",116958,1 
"04","00111","04013",104877,1 
"04","00112","04013",105478,1 
"04","00113","04013",102189,1 
"04","00114","04013",103639,1 
"04","00115","04013",101757,1 
"04","00116","04013",100212,1 
"04","00117","04013",100444,1 
"04","00118","04013",108714,1 
"04","00119","04013",105514,1 
"04","00120","04013",100182,1 
"04","00121","04013",123745,1 
"04","00122","04013",104327,1 
"04","00123","04013",108404,1 
"04","00124","04013",100367,1 
"04","00125","04013",101932,1 
"04","00126","04013",121841,1 
"04","00127","04013",113447,1 
"04","00128","04013",103065,1 
"04","00129","04013",105818,1 
"04","00130","04013",116222,1 
"04","00131","04013",103540,1 
"04","00132","04013",102571,1 
"04","00133","04013",103989,1 
"04","00134","04013",109882,1 
"04","00201","04019",101172,1 
"04","00202","04019",115321,1 
"04","00203","04019",109462,1 
"04","00204","04019",104434,1 
"04","00205","04019",122285,1 
"04","00206","04019",102159,1 
