"state","puma12","ur","pop10","afact"
"State code","PUMA (2012)","Urban/rural","Population (2010)","puma12 to ur allocation factor"
"01","00100","R",99532,0.5331 
"01","00100","U",87163,0.4669 
"01","00200","R",86638,0.5042 
"01","00200","U",85183,0.4958 
"01","00301","R",1789,0.015 
"01","00301","U",117135,0.985 
"01","00302","R",1047,0.0103 
"01","00302","U",100475,0.9897 
"01","00400","R",105085,0.8452 
"01","00400","U",19251,0.1548 
"01","00500","R",62814,0.5308 
"01","00500","U",55531,0.4692 
"01","00600","R",77468,0.5036 
"01","00600","U",76361,0.4964 
"01","00700","R",79674,0.7596 
"01","00700","U",25216,0.2404 
"01","00800","R",112415,0.7977 
"01","00800","U",28500,0.2022 
"01","00900","R",39144,0.3748 
"01","00900","U",65286,0.6252 
"01","01000","R",115755,0.723 
"01","01000","U",44342,0.277 
"01","01100","R",39955,0.337 
"01","01100","U",78617,0.663 
"01","01200","R",44762,0.2294 
"01","01200","U",150323,0.7706 
"01","01301","U",100833,1 
"01","01302","R",10,0.0001 
"01","01302","U",102088,0.9999 
"01","01303","R",2566,0.0151 
"01","01303","U",167579,0.9849 
"01","01304","R",34967,0.2002 
"01","01304","U",139706,0.7998 
"01","01305","R",27209,0.2458 
"01","01305","U",83508,0.7542 
"01","01400","R",97768,0.803 
"01","01400","U",23982,0.197 
"01","01500","R",67204,0.6476 
"01","01500","U",36569,0.3524 
"01","01600","R",2195,0.0198 
"01","01600","U",108434,0.9802 
"01","01700","R",97689,0.7135 
"01","01700","U",39232,0.2865 
"01","01800","R",97103,0.7412 
"01","01800","U",33910,0.2588 
"01","01900","R",38441,0.2741 
"01","01900","U",101806,0.7259 
"01","02000","R",5711,0.0291 
"01","02000","U",190823,0.9709 
"01","02100","R",95545,0.5368 
"01","02100","U",82457,0.4632 
"01","02200","R",116017,0.8082 
"01","02200","U",27541,0.1918 
"01","02300","R",78704,0.6421 
"01","02300","U",43862,0.3579 
"01","02400","R",71886,0.4935 
"01","02400","U",73783,0.5065 
"01","02500","R",99097,0.5059 
"01","02500","U",96793,0.4941 
"01","02600","R",77060,0.4228 
"01","02600","U",105205,0.5772 
"01","02701","R",227,0.002 
"01","02701","U",110538,0.998 
"01","02702","R",178,0.0017 
"01","02702","U",107107,0.9983 
"01","02703","R",82277,0.4221 
"01","02703","U",112665,0.5779 
"02","00101","R",7322,0.0552 
"02","00101","U",125220,0.9448 
"02","00102","R",4693,0.0295 
"02","00102","U",154591,0.9705 
"02","00200","R",88712,0.6144 
"02","00200","U",55683,0.3856 
"02","00300","R",61954,0.3771 
"02","00300","U",102346,0.6229 
"02","00400","R",78657,0.717 
"02","00400","U",31053,0.283 
"04","00100","R",1047,0.0094 
"04","00100","U",110236,0.9906 
"04","00101","R",641,0.0044 
"04","00101","U",145663,0.9956 
"04","00102","R",342,0.0026 
"04","00102","U",130771,0.9974 
"04","00103","U",106091,1 
"04","00104","U",100229,1 
"04","00105","U",135319,1 
"04","00106","U",114036,1 
"04","00107","R",20,0.0002 
"04","00107","U",100410,0.9998 
"04","00108","U",101048,1 
"04","00109","U",102150,1 
"04","00110","U",116958,1 
"04","00111","R",13056,0.1245 
"04","00111","U",91821,0.8755 
"04","00112","R",11110,0.1053 
"04","00112","U",94368,0.8947 
"04","00113","U",102189,1 
"04","00114","U",103639,1 
"04","00115","U",101757,1 
"04","00116","U",100212,1 
"04","00117","U",100444,1 
"04","00118","U",108714,1 
"04","00119","U",105514,1 
"04","00120","R",279,0.0028 
"04","00120","U",99903,0.9972 
"04","00121","R",235,0.0019 
"04","00121","U",123510,0.9981 
"04","00122","U",104327,1 
"04","00123","U",108404,1 
"04","00124","R",11,0.0001 
"04","00124","U",100356,0.9999 
"04","00125","U",101932,1 
"04","00126","U",121841,1 
"04","00127","U",113447,1 
